t_s,head_x_mm,head_y_mm,head_z_mm,pitch_deg,yaw_deg,roll_deg,head_dx_mm,head_dy_mm,head_dz_mm,off_x,off_y,off_z,off_b,off_c,confidence,tracking_ok
0.0,0.0,5.798,607.708,0.0,3.894,2.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0167,0.283,5.877,607.726,0.095,3.99,2.697,-0.018,0.283,-0.079,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0333,0.565,5.955,607.743,0.191,4.086,2.72,-0.035,0.565,-0.157,0.0,0.0,0.0,0.0,0.0,1.0,1
0.05,0.848,6.032,607.76,0.286,4.182,2.742,-0.051,0.848,-0.234,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0667,1.13,6.109,607.776,0.381,4.276,2.764,-0.067,1.13,-0.311,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0833,1.412,6.185,607.791,0.476,4.371,2.784,-0.083,1.412,-0.387,-0.0829,1.4123,-0.3866,0.0,0.0,1.0,1
0.1,1.694,6.259,607.806,0.571,4.465,2.803,-0.098,1.694,-0.462,-0.0978,1.6939,-0.4615,0.0,0.0,1.0,1
0.1167,1.975,6.334,607.821,0.666,4.558,2.822,-0.112,1.975,-0.536,-0.1122,1.9752,-0.5356,0.0,0.0,1.0,1
0.1333,2.256,6.407,607.834,0.761,4.651,2.84,-0.126,2.256,-0.609,-0.126,2.256,-0.6088,0.0,0.0,1.0,1
0.15,2.536,6.479,607.848,0.856,4.744,2.856,-0.139,2.536,-0.681,-0.1393,2.5362,-0.6812,0.0,0.0,1.0,1
0.1667,2.816,6.551,607.861,0.95,4.836,2.872,-0.152,2.816,-0.753,-0.152,2.8158,-0.7528,0.0,0.0,1.0,1
0.1833,3.095,6.621,607.873,1.044,4.927,2.887,-0.164,3.095,-0.823,-0.1642,3.0947,-0.8234,0.0,0.0,1.0,1
0.2,3.373,6.691,607.884,1.138,5.018,2.901,-0.176,3.373,-0.893,-0.1759,3.3729,-0.8932,0.0,0.0,1.0,1
0.2167,3.65,6.76,607.895,1.232,5.108,2.914,-0.187,3.65,-0.962,-0.1869,3.6502,-0.9621,0.0,0.0,1.0,1
0.2333,3.927,6.828,607.906,1.326,5.198,2.927,-0.197,3.927,-1.03,-0.1975,3.9266,-1.0301,0.0,0.0,1.0,1
0.25,4.202,6.895,607.916,1.42,5.287,2.938,-0.207,4.202,-1.097,-0.2074,4.202,-1.0972,0.0,0.0,1.0,1
0.2667,4.476,6.961,607.925,1.513,5.376,2.948,-0.217,4.476,-1.163,-0.2168,4.4764,-1.1633,0.0,0.0,1.0,1
0.2833,4.75,7.027,607.934,1.606,5.464,2.958,-0.226,4.75,-1.229,-0.2257,4.7497,-1.2286,0.0,0.0,1.0,1
0.3,5.022,7.091,607.942,1.698,5.551,2.966,-0.234,5.022,-1.293,-0.234,5.0218,-1.2929,0.0,0.0,1.0,1
0.3167,5.293,7.154,607.95,1.79,5.638,2.974,-0.242,5.293,-1.356,-0.2417,5.2927,-1.3563,0.0,0.0,1.0,1
0.3333,5.562,7.217,607.957,1.882,5.724,2.98,-0.249,5.562,-1.419,-0.2489,5.5623,-1.4187,0.0,0.0,1.0,1
0.35,5.831,7.278,607.964,1.974,5.81,2.986,-0.256,5.831,-1.48,-0.2556,5.8305,-1.4801,0.0,0.0,1.0,1
0.3667,6.097,7.339,607.97,2.065,5.895,2.991,-0.262,6.097,-1.541,-0.2616,6.0973,-1.5407,0.0,0.0,1.0,1
0.3833,6.363,7.398,607.976,2.156,5.979,2.994,-0.267,6.363,-1.6,-0.2671,6.3625,-1.6002,0.0,0.0,1.0,1
0.4,6.626,7.457,607.981,2.247,6.062,2.997,-0.272,6.626,-1.659,-0.2721,6.6262,-1.6587,0.0,0.0,1.0,1
0.4167,6.888,7.514,607.985,2.337,6.145,2.999,-0.276,6.888,-1.716,-0.2765,6.8883,-1.7163,1.0329,0.0,1.0,1
0.4333,7.149,7.571,607.989,2.426,6.228,3.0,-0.28,7.149,-1.773,-0.2803,7.1487,-1.7728,1.0745,0.0,1.0,1
0.45,7.407,7.626,607.992,2.515,6.309,3.0,-0.284,7.407,-1.828,-0.2836,7.4073,-1.8284,1.1161,0.0,1.0,1
0.4667,7.664,7.681,607.995,2.604,6.39,2.999,-0.286,7.664,-1.883,-0.2863,7.664,-1.8829,1.1576,0.0,1.0,1
0.4833,7.919,7.734,607.997,2.692,6.47,2.997,-0.288,7.919,-1.936,-0.2884,7.9189,-1.9365,1.199,0.0,1.0,1
0.5,8.172,7.787,607.998,2.78,6.55,2.994,-0.29,8.172,-1.989,-0.29,8.1718,-1.989,1.2404,0.0,1.0,1
0.5167,8.423,7.838,608.0,2.867,6.629,2.99,-0.291,8.423,-2.04,-0.291,8.4227,-2.0404,1.2817,0.0,1.0,1
0.5333,8.672,7.889,608.0,2.954,6.707,2.985,-0.292,8.672,-2.091,-0.2915,8.6716,-2.0908,1.323,0.0,1.0,1
0.55,8.918,7.938,608.0,3.04,6.784,2.98,-0.291,8.918,-2.14,-0.2914,8.9183,-2.1402,1.3641,0.0,1.0,1
0.5667,9.163,7.987,607.999,3.126,6.861,2.973,-0.291,9.163,-2.189,-0.2907,9.1627,-2.1885,1.4052,0.0,1.0,1
0.5833,9.405,8.034,607.998,3.211,6.936,2.965,-0.29,9.405,-2.236,-0.2895,9.405,-2.2358,1.4462,0.0,1.0,1
0.6,9.645,8.08,607.996,3.295,7.011,2.957,-0.288,9.645,-2.282,-0.2877,9.6449,-2.282,1.4871,0.0,1.0,1
0.6167,9.882,8.125,607.994,3.379,7.086,2.947,-0.285,9.882,-2.327,-0.2854,9.8824,-2.3271,1.5279,0.0,1.0,1
0.6333,10.118,8.169,607.991,3.462,7.159,2.937,-0.282,10.118,-2.371,-0.2825,10.1175,-2.3712,1.5685,0.0,1.0,1
0.65,10.35,8.212,607.987,3.544,7.232,2.925,-0.279,10.35,-2.414,-0.279,10.3501,-2.4141,1.609,0.0,1.0,1
0.6667,10.58,8.254,607.983,3.626,7.304,2.913,-0.275,10.58,-2.456,-0.275,10.5801,-2.456,1.6495,0.0,1.0,1
0.6833,10.808,8.295,607.979,3.707,7.375,2.9,-0.27,10.808,-2.497,-0.2704,10.8076,-2.4968,1.6897,0.0,1.0,1
0.7,11.032,8.334,607.974,3.788,7.445,2.886,-0.265,11.032,-2.536,-0.2653,11.0323,-2.5365,1.7298,0.0,1.0,1
